year,serial,month,cpsid,asecflag,asecwth,pernum,cpsidp,cpsidv,asecwt,age,sex,empstat,occ2010,ind1990,uhrsworkt,educ,incwage,implied_hourly_wage
2025,12,3,20250101600000,1,1518.33,1,20250101600001,202501016000011,1518.33,39,Female,10,1360,882,46,111,130000,54.34782608695652
2025,12,3,20250101600000,1,1518.33,2,20250101600002,202501016000021,1518.33,38,Male,10,430,892,43,111,166000,74.23971377459749
2025,13,3,20250103236100,1,1518.33,1,20250103236101,202501032361011,1518.33,39,Female,10,4810,711,40,111,100000,48.07692307692308
2025,13,3,20250103236100,1,1518.33,2,20250103236102,202501032361021,1518.33,52,Male,10,2310,842,60,123,113000,36.217948717948715
2025,15,3,20231200358100,1,2086.15,1,20231200358101,202312003581011,2086.15,58,Male,10,300,470,42,81,80000,36.63003663003663
2025,15,3,20231200358100,1,2086.15,2,20231200358102,202312003581021,2086.15,56,Female,12,4700,661,25,92,20000,15.384615384615385
2025,19,3,20250106920100,1,1687.75,1,20250106920101,202501069201011,1687.75,67,Female,10,3258,840,60,123,147000,47.11538461538461
2025,20,3,20240104241000,1,1607.07,1,20240104241002,202401042410021,1607.07,47,Male,10,7315,760,40,91,144000,69.23076923076923
2025,28,3,20241200358100,1,2057.43,1,20241200358101,202412003581011,2057.43,72,Male,10,6005,10,32,30,31200,18.75
2025,30,3,20250200442100,1,1590.15,1,20250200442101,202502004421011,1590.15,47,Male,10,1640,712,45,111,85720,36.63247863247863
2025,30,3,20250200442100,1,1590.15,2,20250200442102,202502004421021,1590.15,43,Female,10,2320,842,45,111,40414,17.27094017094017
2025,31,3,20250301883400,1,2170.42,2,20250301883402,202503018834021,2170.42,53,Male,10,800,732,55,81,47500,16.60839160839161
2025,31,3,20250301883400,1,2170.42,3,20250301883403,202503018834031,1614.65,24,Male,10,5110,890,55,81,41500,14.51048951048951
2025,34,3,20250303652900,1,2089.49,1,20250303652901,202503036529011,2089.49,49,Female,10,5700,10,55,92,90000,31.46853146853147
